"longitude","latitude","elevation","vert_elevation"
121.195093164582,23.9471458768474,1280,122.42
121.282026601788,24.0263409657158,2606,122.7515
121.31029741381,24.2303697246426,2120,122.63
121.159470342155,23.4872395151658,3000,122.85
121.282118899422,24.2324509835113,1890,122.5725
121.315456200548,24.0282319450468,1885,122.57125
121.282736767644,24.1327986208148,3150,122.8875
121.486280261022,24.6152761042758,1037,122.35925
121.252318560847,24.5839432967325,1362,122.4405
121.41274334373,24.0176220957465,1335,122.43375
121.350132795702,24.2165598968354,3384,122.946
120.778300247378,22.408178137074,1295,122.42375
121.003870996798,22.764759133944,1035,122.35875
121.382715645061,24.6884170889547,619,122.25475
121.464830643181,24.7471373655828,1416,122.454
121.565556261815,23.7487295474764,280,122.17
121.079386836389,24.6110087471215,1520,122.48
121.439095625656,24.733060490549,1900,122.575
121.186292050276,23.9989068942566,2120,122.63
121.141874581913,23.5204544969036,3379,122.94475
121.619869553772,24.3406227823352,577,122.24425
121.756561927881,24.8429253883037,420,122.205
121.572148905975,24.1149919215003,1230,122.4075
120.738811384299,22.8885703647024,1378,122.4445
121.382789850183,24.5510481676299,2030,122.6075
120.809654659092,22.4271345467923,1235,122.40875
121.926749233741,24.9869479996248,503,122.22575
121.150027665176,23.3444601776757,1768,122.542
121.239282346178,24.232989807736,2536,122.734
121.846321259264,25.0982844849885,169,122.14225
